"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"East Asia & Pacific","EAS","Land area (sq. km)","AG.LND.TOTL.K2","","24438720","24438720","24438720","24438720","24438720","24438720","24438720","24438720","24438720","24438720","24438720","24438620","24438590","24438550","24438410","24438410","24438290","24438290","24438290","24438190","24438290","24438070","24438070","24436570","24436470","24436570","24436470","24436470","24436470","24436470","24438270","24438270","24438270","24438270","24438380","24438270","24438270","24438270","24438270","24423830","24424146.2","24423662.2","24423203.7","24423107.5","24423076.8","24423222.6","24423314.2","24423179.2","24423240","24423342.4","24423364.8","24423346.8","24423394.6","24423400.6","24427111.2","24502823.4","24502555","24502428.8","","",
"Europe & Central Asia (excluding high income)","ECA","Land area (sq. km)","AG.LND.TOTL.K2","","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22409064","22405374","22400514","22397554","22397134","22397814","22400329","22407142","22399852","22398951","22397615","22397649","22397899","22397997","22394364","22394106","22393224","22393079","22393153","22393165","22393175","22393194","22392059","22407259","22407273","22407286","22396444.3","","",
"Europe & Central Asia","ECS","Land area (sq. km)","AG.LND.TOTL.K2","","27391514.027","27391494.027","27391504.027","27391504.027","27391494.027","27391484.027","27391474.027","27391464.027","27391464.027","27391454.027","27391444.027","27391444.027","27391444.027","27391414.027","27391294.027","27391214.027","27391194.027","27391194.027","27391164.027","27391084.027","27391064.027","27391054.027","27391014.027","27391025.027","27391025.027","27391025.027","27391035.027","27391025.027","27390035.027","27390035.027","27390145.027","27390185.027","27386475.027","27381655.027","27378665.027","27378334.027","27447673.027","27450147.027","27456929.027","27448989.027","27447557.027","27446860.027","27447383.027","27447432.027","27447358.027","27443074.027","27442783.027","27441352.227","27442170.827","27443589.227","27443457.027","27438149.727","27439425.187","27439564.627","27454239.957","27454601.387","27454570.067","27447886.686","","",
"Ecuador","ECU","Land area (sq. km)","AG.LND.TOTL.K2","","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","","",
"Egypt, Arab Rep.","EGY","Land area (sq. km)","AG.LND.TOTL.K2","","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","","",
"Euro area","EMU","Land area (sq. km)","AG.LND.TOTL.K2","","2678692","2678692","2678692","2678692","2678692","2678692","2678692","2678692","2678692","2678692","2678692","2678692","2678692","2678662","2678542","2678482","2678452","2678442","2678452","2678382","2678372","2678372","2678342","2678352","2678352","2678352","2678352","2678352","2678352","2678352","2678352","2678352","2678342","2678332","2678322","2678312","2678272","2678242","2678202","2677623","2677093","2677573","2678033","2677653","2677513","2676883","2676941","2676402.2","2676305.8","2677670.2","2677456","2677738.7","2679126.2","2679055.6","2678458.2","2678840.6","2678829.05","2682452.479","","",
"Eritrea","ERI","Land area (sq. km)","AG.LND.TOTL.K2","","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","","",
"Spain","ESP","Land area (sq. km)","AG.LND.TOTL.K2","","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499750","499630","499570","499540","499530","499540","499470","499460","499460","499430","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499000","498520","499040","499210","499180","499090","498980","499110","498800","498660","500010","499880","500210","500210","500210","499661","499564","499547.35","499603.479","","",
"Estonia","EST","Land area (sq. km)","AG.LND.TOTL.K2","","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","43470","43470","43470","43470","43470","43470","","",
"Ethiopia","ETH","Land area (sq. km)","AG.LND.TOTL.K2","","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1129264.328","1129317.777","1129314.344","1129287.296","1129272.056","1129270.983","1129253.379","1129208.088","1129209.376","1129212.38","1129225.045","1129272.914","1129304.039","1129279.999","1129300.39","","",
"European Union","EUU","Land area (sq. km)","AG.LND.TOTL.K2","","4001882","4001862","4001872","4001872","4001862","4001852","4001842","4001832","4001832","4001822","4001812","4001812","4001812","4001782","4001662","4001582","4001562","4001562","4001532","4001452","4001432","4001422","4001382","4001392","4001392","4001392","4001402","4001392","4000402","4000402","4000512","4000552","4000532","4000572","4000542","4000632","4000542","4000502","4000472","3999823","3999293","3998103","3998563","3998353","3998063","3997403","3997351","3996802.2","3997715.8","3999060.2","3998916","3993598.7","3994976.2","3996265.6","3995658.2","3996050.6","3996029.05","3999622.479","","",
"Fragile and conflict affected situations","FCS","Land area (sq. km)","AG.LND.TOTL.K2","","16578338","16578338","16578338","16578338","16578338","16578338","16578338","16578338","16578338","16578338","16578338","16578338","16578338","16577938","16577538","16577538","16577538","16577538","16577538","16577538","16577538","16577538","16577538","16577538","16577538","16577538","16577538","16577538","16577538","16577538","16578418","16578418","16578418","16578418","16578418","16578418","16578418","16578418","16578418","16578418","16578418","16578418","16578228","16578088","16578028","16578198","16578258","16578048","16574988","16574938","19056321.271","19056181.594","19055916.952","19055872.633","19055874.424","19055751.303","19055459.033","19044550.838","","",
"Finland","FIN","Land area (sq. km)","AG.LND.TOTL.K2","","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304110","304090","303900","303900","303900","303890","303890","303890","303890","303910","303910","303920","303920","","",
"Fiji","FJI","Land area (sq. km)","AG.LND.TOTL.K2","","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","","",
"France","FRA","Land area (sq. km)","AG.LND.TOTL.K2","","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547567","547567","547567","547867","547567","547557","547557","547557","547557","547557","547557","547557","547557","547557","547557","547557","547557","547557","547557","","",
"Faroe Islands","FRO","Land area (sq. km)","AG.LND.TOTL.K2","","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","","",
"Micronesia, Fed. Sts.","FSM","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","","",
"Gabon","GAB","Land area (sq. km)","AG.LND.TOTL.K2","","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","","",
"United Kingdom","GBR","Land area (sq. km)","AG.LND.TOTL.K2","","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","","",
"Georgia","GEO","Land area (sq. km)","AG.LND.TOTL.K2","","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","","",
"Ghana","GHA","Land area (sq. km)","AG.LND.TOTL.K2","","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","","",
"Gibraltar","GIB","Land area (sq. km)","AG.LND.TOTL.K2","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","","",
"Guinea","GIN","Land area (sq. km)","AG.LND.TOTL.K2","","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","","",
"Gambia, The","GMB","Land area (sq. km)","AG.LND.TOTL.K2","","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","","",
"Guinea-Bissau","GNB","Land area (sq. km)","AG.LND.TOTL.K2","","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","","",
"Equatorial Guinea","GNQ","Land area (sq. km)","AG.LND.TOTL.K2","","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","","",
"Greece","GRC","Land area (sq. km)","AG.LND.TOTL.K2","","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","","",
"Grenada","GRD","Land area (sq. km)","AG.LND.TOTL.K2","","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","","",
"Greenland","GRL","Land area (sq. km)","AG.LND.TOTL.K2","","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","","",
"Guatemala","GTM","Land area (sq. km)","AG.LND.TOTL.K2","","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","","",
"Guam","GUM","Land area (sq. km)","AG.LND.TOTL.K2","","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","","",
"Guyana","GUY","Land area (sq. km)","AG.LND.TOTL.K2","","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","","",
"High income","HIC","Land area (sq. km)","AG.LND.TOTL.K2","","35186018.427","35185998.427","35186008.427","35186008.427","35185998.427","35185988.427","35185978.427","35185968.427","35185968.427","35185958.427","35185948.427","35185848.427","35185848.427","35185818.427","35185588.427","35185508.427","35185378.427","35185378.427","35185348.427","35185078.427","35185158.427","35184938.427","35184898.427","35183409.427","35183309.427","35183409.427","35183319.427","35183309.427","35182319.427","35182319.427","35183349.427","35183409.427","35183389.427","35183429.427","35183459.427","35183448.427","35252107.427","35252066.427","35252035.427","35254345.427","35254100.427","35254795.427","35255316.427","35255148.427","35255016.427","35254401.027","35254419.627","35239455.827","35240489.727","35241978.327","35241826.927","35236634.627","35238008.487","35238949.927","35238447.357","35248559.887","35248537.867","35252625.286","","",
"Hong Kong SAR, China","HKG","Land area (sq. km)","AG.LND.TOTL.K2","","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1010","1010","1000","1000","1000","1000","1000","990","990","990","990","990","990","990","990","990","990","990","990","990","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","","",
"Honduras","HND","Land area (sq. km)","AG.LND.TOTL.K2","","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","","",
"Heavily indebted poor countries (HIPC)","HPC","Land area (sq. km)","AG.LND.TOTL.K2","","17479481","17479481","17479481","17479481","17479481","17479481","17479481","17479481","17479481","17479481","17479481","17479481","17479481","17479081","17478821","17478821","17478821","17478821","17478821","17478821","17478821","17478821","17478821","17478821","17478821","17478821","17478821","17478821","17478821","17478821","17478821","17478821","17377821","17377821","17377821","17377821","17377821","17377821","17377821","17377821","17377821","17377821","17377821","17507085.328","17507138.777","17507135.344","17507108.296","17507093.056","17507091.983","17507784.379","19357368.949","19357375.266","19357381.577","19357365.461","19357415.12","19357335.24","19357309.952","19357325.105","","",
"Croatia","HRV","Land area (sq. km)","AG.LND.TOTL.K2","","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55980","55980","55910","55910","55910","55910","55910","55910","55960","55960","55960","55960","55960","55960","55960","55960","55960","55960","56590","56590","56590","56590","56590","","",
"Haiti","HTI","Land area (sq. km)","AG.LND.TOTL.K2","","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","","",
"Hungary","HUN","Land area (sq. km)","AG.LND.TOTL.K2","","90040","90020","90030","90030","90020","90010","90000","89990","89990","89980","89970","89970","89970","89970","89970","89950","89960","89970","89920","89910","89900","89890","89880","89880","89880","89880","89880","89870","89870","89870","89870","89870","89860","89860","89860","89860","89800","89800","89800","89620","89620","89620","89620","89620","89610","89610","89610","89610","90530","90530","90530","90530","90530","91260","91260","91260","91260","91260","","",
"IBRD only","IBD","Land area (sq. km)","AG.LND.TOTL.K2","","71064349","71064349","71064349","71064349","71064349","71064349","71064349","71064349","71064349","71064349","71064349","71064349","71064279","71064239","71064209","71064079","71064069","71064069","71064069","71063979","71063979","71063969","71063969","71063969","71063969","71063969","71063969","71063969","71062979","71062979","71063549","71063549","71059859","71055049","71052119","71051789","71052479","71026504","71033327","71011707","71010836.2","71009120.2","71008703.7","71009144.5","71009221.8","71005579","71005231","71004339","71001824.5","71001888.7","71001970.9","71001820.9","71001648.3","71002127.3","71005011.8","71070976.9","71070991.2","71071078.2","","",
"IDA & IBRD total","IBT","Land area (sq. km)","AG.LND.TOTL.K2","","93549250","93549250","93549250","93549250","93549250","93549250","93549250","93549250","93549250","93549250","93549250","93549250","93549180","93548740","93548450","93548320","93548310","93548310","93548310","93548220","93548220","93548210","93548210","93548210","93548210","93548210","93548210","93548210","93547220","93547220","93548670","93548670","93443980","93432247","93429317","93428987","93429677","93403702","93410525","93389255","93388384.2","93386668.2","93386061.7","93513943.828","93514014.577","93510538.344","93510223.296","93509106.056","93506580.483","93507287.079","95988962.259","95988673.87","95988436.632","95987709.978","96005839.138","96071736.242","96071433.232","96060596.428","","",
"IDA total","IDA","Land area (sq. km)","AG.LND.TOTL.K2","","22484901","22484901","22484901","22484901","22484901","22484901","22484901","22484901","22484901","22484901","22484901","22484901","22484901","22484501","22484241","22484241","22484241","22484241","22484241","22484241","22484241","22484241","22484241","22484241","22484241","22484241","22484241","22484241","22484241","22484241","22485121","22485121","22384121","22377198","22377198","22377198","22377198","22377198","22377198","22377548","22377548","22377548","22377358","22504799.328","22504792.777","22504959.344","22504992.296","22504767.056","22504755.983","22505398.379","24986991.359","24986852.97","24986788.332","24985582.678","25000827.338","25000759.342","25000442.032","24989518.228","","",
"IDA blend","IDB","Land area (sq. km)","AG.LND.TOTL.K2","","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4384561","4384558","4384557","4384525","","",
"Indonesia","IDN","Land area (sq. km)","AG.LND.TOTL.K2","","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1877519","1877519","1877519","","",
"IDA only","IDX","Land area (sq. km)","AG.LND.TOTL.K2","","18115531","18115531","18115531","18115531","18115531","18115531","18115531","18115531","18115531","18115531","18115531","18115531","18115531","18115131","18114871","18114871","18114871","18114871","18114871","18114871","18114871","18114871","18114871","18114871","18114871","18114871","18114871","18114871","18114871","18114871","18115751","18115751","18014751","18007828","18007828","18007828","18007828","18007828","18007828","18008178","18008178","18008178","18007988","18135429.328","18135422.777","18135589.344","18135622.296","18135397.056","18135385.983","18136028.379","20617621.359","20617482.97","20617418.332","20616212.678","20616266.338","20616201.342","20615885.032","20604993.228","","",
"Isle of Man","IMN","Land area (sq. km)","AG.LND.TOTL.K2","","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","","",
"India","IND","Land area (sq. km)","AG.LND.TOTL.K2","","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","","",
"Not classified","INX","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Land area (sq. km)","AG.LND.TOTL.K2","","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","","",
"Iran, Islamic Rep.","IRN","Land area (sq. km)","AG.LND.TOTL.K2","","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","","",
"Iraq","IRQ","Land area (sq. km)","AG.LND.TOTL.K2","","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","434320","434320","434320","434320","434128","434128","434128","434128","434128","434128","","",
"Iceland","ISL","Land area (sq. km)","AG.LND.TOTL.K2","","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100830","","",
"Israel","ISR","Land area (sq. km)","AG.LND.TOTL.K2","","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","","",
"Italy","ITA","Land area (sq. km)","AG.LND.TOTL.K2","","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","297730","","",
"Jamaica","JAM","Land area (sq. km)","AG.LND.TOTL.K2","","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","","",
"Jordan","JOR","Land area (sq. km)","AG.LND.TOTL.K2","","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","","",
"Japan","JPN","Land area (sq. km)","AG.LND.TOTL.K2","","366700","366700","366700","366700","366700","366700","366700","366700","366700","366700","366700","366600","366600","366600","366500","366500","366400","366400","366400","366300","366400","366200","366200","364700","364600","364700","364600","364600","364600","364600","364600","364600","364600","364600","364600","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","","",
"Kazakhstan","KAZ","Land area (sq. km)","AG.LND.TOTL.K2","","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","","",
"Kenya","KEN","Land area (sq. km)","AG.LND.TOTL.K2","","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","","",
